Questions,Answers
How often are the Dietary Guidelines for Americans updated?,The Dietary Guidelines for Americans are updated every 5 years.
What is the main purpose of the Dietary Guidelines for Americans?,"To provide science-based advice on what to eat and drink to promote health, reduce risk of chronic disease, and meet nutrient needs."
Which government agencies are responsible for publishing the Dietary Guidelines?,The U.S. Department of Health and Human Services and the U.S. Department of Agriculture.
What is the recommended daily limit for added sugars in the diet?,The guidelines typically recommend limiting added sugars to less than 10% of total daily calories.
How many servings of fruits and vegetables are generally recommended per day?,Most dietary guidelines recommend consuming at least 5 servings of fruits and vegetables daily.
What is the recommendation for whole grain consumption?,The guidelines often suggest that at least half of all grains consumed should be whole grains.
How do the guidelines typically address alcohol consumption?,"For adults who choose to drink, the guidelines usually recommend moderation, which is defined as up to one drink per day for women and up to two drinks per day for men."
What is the stance on saturated fats in the diet?,The guidelines generally recommend limiting saturated fat intake to less than 10% of total daily calories.
How do the Dietary Guidelines address sodium intake?,"They typically recommend limiting sodium intake to less than 2,300 milligrams per day for most adults."
"What is the ""MyPlate"" concept often associated with these guidelines?","MyPlate is a visual representation of how to build a healthy meal, replacing the older Food Pyramid. It emphasizes a diet rich in fruits, vegetables, whole grains, lean proteins, and low-fat dairy."
